country,total_cases,new_cases,total_death,new_death,total_recovered,active_cases,serious_critical,total_cases_per_million,death_per_million,total_tests,tests_per_million,population
USA,32525316.0,49163.0,582311.0,738.0,25103341.0,59878.0,6839664.0,9962.0,97805.0,1751.0,431749271.0,1298286.0
India,15609004.0,294290.0,182570.0,2020.0,13269863.0,166643.0,2156571.0,8944.0,11223.0,131.0,269414035.0,193708.0
Brazil,14043076.0,65363.0,378003.0,2954.0,12561689.0,100977.0,1103384.0,8318.0,65694.0,1768.0,28600000.0,133791.0
France,5339920.0,43098.0,101597.0,375.0,0,30092.0,1056942.0,5984.0,81664.0,1554.0,72873077.0,1114454.0
Russia,4718854.0,8164.0,106307.0,379.0,4343229.0,9631.0,269318.0,2300.0,32324.0,728.0,126200000.0,864475.0
UK,4393307.0,2524.0,127307.0,33.0,4161433.0,5298.0,104567.0,318.0,64445.0,1867.0,145197408.0,2129901.0
Turkey,4384624.0,61028.0,36613.0,346.0,3792129.0,55592.0,555882.0,3375.0,51546.0,430.0,44409756.0,522082.0
Italy,3891063.0,12074.0,117633.0,390.0,3290715.0,22453.0,482715.0,3151.0,64432.0,1948.0,55535217.0,919600.0
Spain,3435840.0,7486.0,77216.0,114.0,3147281.0,2928.0,211343.0,2289.0,73464.0,1651.0,44374223.0,948790.0
Germany,3180810.0,16363.0,81086.0,312.0,2803600.0,16400.0,296124.0,4932.0,37868.0,965.0,52737238.0,627838.0
Argentina,2743620.0,29145.0,59792.0,316.0,2407853.0,21470.0,275975.0,4366.0,60264.0,1313.0,10320622.0,226694.0
Poland,2704571.0,9246.0,62734.0,601.0,2354652.0,19674.0,287185.0,3287.0,71524.0,1659.0,13503602.0,357111.0
Colombia,2684101.0,16965.0,69177.0,429.0,2505738.0,17492.0,109186.0,5306.0,52306.0,1348.0,13978773.0,272409.0
Mexico,2306910.0,1308.0,212466.0,127.0,1833132.0,3652.0,261312.0,4798.0,17744.0,1634.0,6412677.0,49323.0
Iran,2286927.0,25492.0,67525.0,395.0,1810531.0,13212.0,408871.0,4911.0,26953.0,796.0,14613010.0,172223.0
Ukraine,1961956.0,8940.0,40367.0,367.0,1499752.0,12075.0,421837.0,177.0,45079.0,927.0,8958482.0,205833.0
Peru,1707787.0,0,57537.0,0,1636286.0,0,13964.0,2574.0,51227.0,1726.0,10461475.0,313803.0
Indonesia,1614849.0,5549.0,43777.0,210.0,1468142.0,6728.0,102930.0,0,5855.0,159.0,13891160.0,50361.0
Czechia,1606030.0,3301.0,28640.0,36.0,1515106.0,153.0,62284.0,888.0,149748.0,2670.0,15989327.0,1490864.0
South Africa,1568366.0,853.0,53887.0,130.0,1494630.0,3754.0,19849.0,546.0,26181.0,900.0,10379089.0,173260.0
Netherlands,1417772.0,6822.0,16965.0,27.0,0,6943.0,216200.0,821.0,82596.0,988.0,11781337.0,686350.0
Canada,1136849.0,5076.0,23707.0,40.0,1025120.0,5341.0,88022.0,1167.0,29912.0,624.0,30041115.0,790426.0
Chile,1136435.0,5095.0,25317.0,40.0,1067662.0,6836.0,43456.0,3372.0,59044.0,1315.0,12472168.0,648000.0
Romania,1034003.0,2931.0,26618.0,237.0,950242.0,5468.0,57143.0,1432.0,54038.0,1391.0,7950663.0,415509.0
Iraq,993158.0,8208.0,15060.0,34.0,870927.0,6888.0,107171.0,486.0,24260.0,368.0,8891116.0,217180.0
Philippines,953106.0,7379.0,16141.0,93.0,809959.0,21664.0,127006.0,750.0,8606.0,146.0,11242391.0,101518.0
Belgium,951626.0,1630.0,23782.0,35.0,0,0,123650.0,931.0,81826.0,2045.0,12004992.0,1032249.0
Sweden,916830.0,0,13825.0,36.0,0,1578.0,161253.0,416.0,90332.0,1362.0,8151774.0,803165.0
Israel,837357.0,139.0,6345.0,4.0,828902.0,216.0,2110.0,175.0,91041.0,690.0,14014683.0,1523734.0
Portugal,831645.0,424.0,16951.0,5.0,790118.0,902.0,24576.0,113.0,81751.0,1666.0,9851332.0,968391.0
Pakistan,766882.0,5445.0,16453.0,137.0,667131.0,4286.0,83298.0,4494.0,3419.0,73.0,11272531.0,50256.0
Hungary,754833.0,1645.0,25580.0,199.0,461181.0,2969.0,268072.0,980.0,78296.0,2653.0,5157082.0,534928.0
Bangladesh,727780.0,4559.0,10588.0,91.0,628111.0,6811.0,89081.0,0,4384.0,64.0,5221275.0,31454.0
Jordan,692181.0,2699.0,8372.0,64.0,649718.0,5232.0,34091.0,729.0,67307.0,814.0,6522141.0,634207.0
Serbia,667937.0,2965.0,6058.0,32.0,599380.0,4775.0,62499.0,219.0,76694.0,696.0,3711555.0,426167.0
Switzerland,639445.0,2141.0,10532.0,11.0,570159.0,0,58754.0,218.0,73456.0,1210.0,6633770.0,762051.0
Austria,597566.0,2026.0,9959.0,37.0,560492.0,3025.0,27115.0,565.0,66048.0,1101.0,29335166.0,3242368.0
Japan,537317.0,2908.0,9671.0,30.0,486076.0,3024.0,41570.0,769.0,4259.0,77.0,11007803.0,87248.0
Lebanon,513006.0,1608.0,6995.0,36.0,432548.0,2950.0,73463.0,769.0,75432.0,1029.0,3852611.0,566482.0
Morocco,506669.0,720.0,8959.0,7.0,492725.0,625.0,4985.0,261.0,13598.0,240.0,6176260.0,165764.0
UAE,500860.0,1903.0,1559.0,3.0,483180.0,1854.0,16121.0,0,50158.0,156.0,42101280.0,4216181.0
Saudi Arabia,407010.0,1070.0,6846.0,12.0,390538.0,940.0,9626.0,1105.0,11548.0,194.0,16293609.0,462290.0
Bulgaria,390911.0,2096.0,15518.0,106.0,314273.0,3351.0,61120.0,765.0,56601.0,2247.0,2391777.0,346309.0
Malaysia,379473.0,2341.0,1389.0,3.0,356816.0,1592.0,21268.0,249.0,11606.0,42.0,8718106.0,266638.0
Slovakia,376709.0,642.0,11244.0,72.0,255300.0,0,110165.0,430.0,68972.0,2059.0,2513141.0,460134.0
Ecuador,361154.0,591.0,17744.0,41.0,309541.0,0,33869.0,644.0,20226.0,994.0,1231653.0,68976.0
Panama,361044.0,0,6189.0,0,350835.0,0,4020.0,105.0,82641.0,1417.0,2303585.0,527278.0
Belarus,345998.0,888.0,2443.0,10.0,336227.0,742.0,7328.0,0,36626.0,259.0,5685902.0,601884.0
Greece,320629.0,3750.0,9627.0,87.0,278690.0,3137.0,32312.0,847.0,30882.0,927.0,7568084.0,728945.0
Croatia,310306.0,2106.0,6643.0,42.0,289664.0,1877.0,13999.0,213.0,75963.0,1626.0,1713174.0,419385.0
Azerbaijan,303858.0,2197.0,4203.0,34.0,267485.0,1946.0,32170.0,0,29755.0,412.0,3128656.0,306368.0
Georgia,297728.0,1792.0,3959.0,10.0,282237.0,663.0,11532.0,0,74749.0,994.0,3916479.0,983290.0
Kazakhstan,292250.0,2530.0,3436.0,30.0,250180.0,2084.0,38634.0,221.0,15418.0,181.0,9624583.0,507740.0
Bolivia,290362.0,1296.0,12666.0,18.0,239194.0,999.0,38502.0,71.0,24607.0,1073.0,1058977.0,89745.0
Tunisia,289230.0,2169.0,9918.0,93.0,239104.0,2511.0,40208.0,483.0,24270.0,832.0,1240902.0,104127.0
Nepal,287567.0,1667.0,3102.0,11.0,275806.0,251.0,8659.0,0,9730.0,105.0,2360557.0,79874.0
Palestine,284280.0,2010.0,3078.0,31.0,251663.0,2281.0,29539.0,165.0,54717.0,592.0,1691240.0,325520.0
Dominican Republic,261848.0,317.0,3426.0,4.0,219262.0,274.0,39160.0,177.0,23947.0,313.0,1374857.0,125734.0
Kuwait,259868.0,1371.0,1468.0,12.0,243056.0,1360.0,15344.0,248.0,60143.0,340.0,2236571.0,517622.0
Paraguay,252443.0,0,5384.0,0,207803.0,0,39256.0,510.0,35050.0,748.0,1026625.0,142540.0
Moldova,246691.0,453.0,5616.0,25.0,233281.0,953.0,7794.0,262.0,61268.0,1395.0,943661.0,234365.0
Ethiopia,245155.0,1524.0,3439.0,47.0,181935.0,1290.0,59781.0,965.0,2091.0,29.0,2514749.0,21453.0
Ireland,244297.0,386.0,4847.0,11.0,0,768.0,13687.0,47.0,49038.0,973.0,4313778.0,865914.0
Denmark,244065.0,691.0,2463.0,4.0,232191.0,563.0,9411.0,38.0,42019.0,424.0,32675839.0,5625511.0
Lithuania,235383.0,1138.0,3785.0,9.0,213118.0,1615.0,18480.0,196.0,87446.0,1406.0,2632659.0,978046.0
Slovenia,233031.0,718.0,4172.0,5.0,216528.0,267.0,12331.0,157.0,112079.0,2007.0,1135283.0,546028.0
Costa Rica,231967.0,1130.0,3104.0,5.0,199166.0,1324.0,29697.0,269.0,45207.0,605.0,914427.0,178208.0
Egypt,217186.0,0,12778.0,0,163812.0,0,40596.0,90.0,2091.0,123.0,2677262.0,25775.0
Guatemala,214700.0,1651.0,7279.0,38.0,192519.0,1027.0,14902.0,5.0,11810.0,400.0,1176613.0,64724.0
Armenia,209485.0,667.0,3919.0,24.0,189688.0,671.0,15878.0,0,70589.0,1321.0,942001.0,317421.0
Honduras,201677.0,742.0,4963.0,6.0,76339.0,0,120375.0,576.0,20107.0,495.0,562923.0,56124.0
Qatar,198361.0,885.0,391.0,5.0,175431.0,733.0,22539.0,459.0,70646.0,139.0,1849568.0,658724.0
Bosnia and Herzegovina,191876.0,722.0,8025.0,87.0,149273.0,1127.0,34578.0,0,58777.0,2458.0,872381.0,267237.0
Venezuela,184595.0,0,1925.0,0,166826.0,0,15844.0,289.0,6506.0,68.0,3359014.0,118394.0
Oman,182693.0,1263.0,1909.0,19.0,162656.0,986.0,18128.0,263.0,35069.0,366.0,1550000.0,297529.0
Libya,173089.0,625.0,2919.0,11.0,158352.0,694.0,11818.0,0,24920.0,420.0,935070.0,134625.0
Uruguay,167033.0,0,1971.0,0,136304.0,0,28758.0,519.0,47952.0,566.0,1641855.0,471343.0
Bahrain,166157.0,1039.0,605.0,5.0,154711.0,1040.0,10841.0,95.0,95041.0,346.0,3934735.0,2250638.0
Nigeria,164423.0,120.0,2061.0,0,154406.0,22.0,7956.0,11.0,782.0,10.0,1870915.0,8901.0
Kenya,152523.0,629.0,2519.0,18.0,103838.0,1560.0,46166.0,250.0,2788.0,46.0,1611679.0,29458.0
North Macedonia,147995.0,766.0,4509.0,31.0,124828.0,1118.0,18658.0,124.0,71039.0,2164.0,695267.0,333733.0
Myanmar,142644.0,0,3206.0,0,131903.0,0,7535.0,0,2608.0,59.0,2559883.0,46798.0
Albania,129842.0,148.0,2353.0,6.0,102601.0,430.0,24888.0,18.0,45158.0,818.0,608285.0,211557.0
Algeria,119992.0,187.0,3165.0,5.0,83636.0,122.0,33191.0,19.0,2698.0,71.0,230861.0,5190.0
Estonia,118317.0,536.0,1104.0,4.0,103586.0,1360.0,13627.0,52.0,89145.0,832.0,1239887.0,934178.0
S. Korea,115195.0,549.0,1802.0,1.0,105227.0,753.0,8166.0,109.0,2245.0,35.0,8458592.0,164870.0
Latvia,112224.0,688.0,2071.0,15.0,102290.0,116.0,7863.0,78.0,60031.0,1108.0,2143828.0,1146770.0
Norway,108342.0,314.0,709.0,0,88952.0,0,18681.0,47.0,19861.0,130.0,5009274.0,918277.0
Sri Lanka,97472.0,367.0,620.0,0,93547.0,173.0,3305.0,0,4537.0,29.0,2374627.0,110525.0
Montenegro,95894.0,199.0,1441.0,3.0,91403.0,284.0,3050.0,69.0,152666.0,2294.0,363212.0,578243.0
Cuba,95754.0,1183.0,538.0,7.0,90067.0,994.0,5149.0,59.0,8458.0,48.0,3407708.0,301006.0
Kyrgyzstan,92320.0,225.0,1557.0,2.0,87229.0,173.0,3534.0,25.0,13967.0,236.0,940464.0,142283.0
Ghana,91709.0,0,771.0,0,89604.0,0,1334.0,9.0,2903.0,24.0,1047048.0,33147.0
Zambia,91042.0,100.0,1236.0,0,88900.0,40.0,906.0,43.0,4845.0,66.0,1355385.0,72127.0
Uzbekistan,87225.0,243.0,639.0,1.0,84533.0,226.0,2053.0,23.0,2576.0,19.0,1377915.0,40700.0
Finland,84501.0,214.0,893.0,2.0,46000.0,0,37608.0,36.0,15232.0,161.0,4300110.0,775129.0
Mozambique,69309.0,81.0,802.0,2.0,62323.0,8.0,6184.0,43.0,2169.0,25.0,505597.0,15825.0
El Salvador,67851.0,149.0,2082.0,4.0,63982.0,110.0,1787.0,60.0,10419.0,320.0,892504.0,137048.0
Luxembourg,65319.0,175.0,786.0,0,61594.0,55.0,2939.0,30.0,103014.0,1240.0,2579916.0,4068748.0
Cameroon,64809.0,0,939.0,0,57821.0,0,6049.0,385.0,2394.0,35.0,1257949.0,46471.0
Singapore,60865.0,14.0,30.0,0,60540.0,37.0,295.0,1.0,10339.0,5.0,9278789.0,1576130.0
Afghanistan,58214.0,176.0,2557.0,2.0,52272.0,28.0,3385.0,1124.0,1469.0,65.0,384922.0,9714.0
Cyprus,57081.0,0,294.0,0,39061.0,0,17726.0,68.0,47004.0,242.0,4398877.0,3622332.0
Namibia,46875.0,102.0,608.0,4.0,44953.0,193.0,1314.0,33.0,18186.0,236.0,373669.0,144974.0
Ivory Coast,45570.0,0,274.0,0,45161.0,0,135.0,0,1694.0,10.0,573182.0,21311.0
Thailand,45185.0,1443.0,108.0,4.0,28958.0,171.0,16119.0,1.0,646.0,2.0,8124896.0,116169.0
Botswana,44702.0,0,684.0,0,39733.0,0,4285.0,1.0,18709.0,286.0,976728.0,408784.0
Jamaica,44254.0,118.0,738.0,11.0,19962.0,130.0,23554.0,29.0,14893.0,248.0,317507.0,106851.0
Uganda,41396.0,0,339.0,0,40898.0,0,159.0,24.0,883.0,7.0,989628.0,21108.0
Senegal,39836.0,15.0,1095.0,4.0,38600.0,61.0,141.0,17.0,2330.0,64.0,466228.0,27275.0
Zimbabwe,37875.0,16.0,1554.0,1.0,35058.0,27.0,1263.0,12.0,2519.0,103.0,402475.0,26769.0
Malawi,33968.0,9.0,1142.0,3.0,31810.0,36.0,1016.0,15.0,1740.0,58.0,227956.0,11677.0
Madagascar,33202.0,404.0,563.0,11.0,26291.0,274.0,6348.0,319.0,1175.0,20.0,169863.0,6012.0
Sudan,32244.0,0,2281.0,0,26087.0,0,3876.0,0,722.0,51.0,232965.0,5216.0
Malta,30039.0,13.0,411.0,2.0,29065.0,62.0,563.0,0,67887.0,929.0,849165.0,1919091.0
Australia,29550.0,0,910.0,0,26450.0,0,2190.0,0,1148.0,35.0,16409724.0,637624.0
DRC,29084.0,79.0,748.0,3.0,26108.0,267.0,2228.0,0,317.0,8.0,145261.0,1584.0
Maldives,26667.0,162.0,71.0,1.0,23803.0,112.0,2793.0,68.0,48652.0,130.0,692619.0,1263638.0
Angola,24518.0,0,563.0,0,22600.0,0,1355.0,20.0,728.0,17.0,445121.0,13218.0
Mongolia,24195.0,1311.0,51.0,2.0,12860.0,459.0,11284.0,88.0,7287.0,15.0,2576921.0,776111.0
Rwanda,24005.0,71.0,327.0,1.0,22560.0,152.0,1118.0,6.0,1818.0,25.0,1264616.0,95755.0
Gabon,22032.0,0,136.0,0,18706.0,0,3190.0,34.0,9717.0,60.0,693064.0,305665.0
Guinea,21633.0,21.0,139.0,1.0,18991.0,18.0,2503.0,24.0,1613.0,10.0,421175.0,31396.0
Syria,21433.0,154.0,1468.0,12.0,15088.0,130.0,4877.0,0,1202.0,82.0,103566.0,5806.0
Cabo Verde,20781.0,154.0,194.0,1.0,18350.0,159.0,2237.0,23.0,37056.0,346.0,142081.0,253353.0
Mayotte,19757.0,0,168.0,0,2964.0,0,16625.0,6.0,71059.0,604.0,165683.0,595905.0
French Polynesia,18708.0,0,141.0,0,4842.0,0,13725.0,1.0,66292.0,500.0,26355.0,93390.0
Réunion,18425.0,0,135.0,0,16794.0,0,1496.0,54.0,20463.0,150.0,100098.0,111169.0
Eswatini,18417.0,0,671.0,0,17715.0,0,31.0,3.0,15744.0,574.0,178676.0,152748.0
French Guiana,18261.0,0,96.0,0,9995.0,0,8170.0,13.0,59908.0,315.0,203343.0,667096.0
Mauritania,18142.0,0,454.0,0,17499.0,0,189.0,14.0,3822.0,96.0,221971.0,46765.0
Somalia,13324.0,0,678.0,0,5518.0,0,7128.0,0,820.0,42.0,106063.0,6529.0
Tajikistan,13308.0,0,90.0,0,13218.0,0,0.0,0,1371.0,9.0,0,0
Mali,13246.0,101.0,444.0,3.0,7613.0,120.0,5189.0,0,640.0,21.0,247184.0,11934.0
Burkina Faso,13148.0,0,154.0,0,12773.0,0,221.0,0,616.0,7.0,177277.0,8301.0
Haiti,12918.0,0,251.0,0,11791.0,0,876.0,0,1122.0,22.0,60085.0,5219.0
Andorra,12874.0,69.0,123.0,0,12285.0,82.0,466.0,29.0,166408.0,1590.0,193595.0,2502391.0
Guadeloupe,12717.0,0,176.0,0,2242.0,0,10299.0,13.0,31778.0,440.0,164128.0,410136.0
Belize,12558.0,0,318.0,0,12156.0,0,84.0,1.0,31133.0,788.0,111174.0,275615.0
Togo,12553.0,0,120.0,0,10230.0,0,2203.0,0,1489.0,14.0,300872.0,35679.0
Guyana,11972.0,71.0,273.0,2.0,10297.0,51.0,1402.0,13.0,15162.0,346.0,108883.0,137899.0
Curaçao,11903.0,0,90.0,0,9457.0,0,2356.0,22.0,72302.0,547.0,90143.0,547552.0
Hong Kong,11704.0,8.0,209.0,0,11286.0,12.0,209.0,3.0,1551.0,28.0,11193673.0,1483484.0
Lesotho,10720.0,0,316.0,0,5868.0,0,4536.0,0,4973.0,147.0,73762.0,34216.0
Djibouti,10557.0,47.0,123.0,4.0,9607.0,222.0,827.0,0,10563.0,123.0,144891.0,144972.0
South Sudan,10478.0,3.0,114.0,0,10215.0,0,149.0,0,927.0,10.0,144419.0,12782.0
Aruba,10345.0,0,92.0,0,9862.0,0,391.0,14.0,96567.0,859.0,141122.0,1317321.0
Congo,10084.0,0,139.0,0,8208.0,0,1737.0,0,1792.0,25.0,92500.0,16442.0
Papua New Guinea,9952.0,0,91.0,0,846.0,0,9015.0,0,1096.0,10.0,70260.0,7736.0
Martinique,9890.0,0,64.0,0,98.0,0,9728.0,24.0,26371.0,171.0,140946.0,375824.0
Bahamas,9791.0,0,194.0,0,9059.0,0,538.0,3.0,24710.0,490.0,82548.0,208327.0
Suriname,9617.0,36.0,188.0,1.0,8862.0,33.0,567.0,15.0,16277.0,318.0,47424.0,80267.0
Trinidad and Tobago,8964.0,0,154.0,0,7976.0,0,834.0,8.0,6389.0,110.0,122300.0,87163.0
Benin,7611.0,0,95.0,0,6728.0,0,788.0,35.0,615.0,8.0,575088.0,46472.0
Cambodia,7444.0,431.0,49.0,4.0,2555.0,31.0,4840.0,0,440.0,3.0,811284.0,47996.0
Equatorial Guinea,7259.0,0,106.0,0,6885.0,0,268.0,11.0,5043.0,74.0,116266.0,80773.0
Nicaragua,6778.0,0,180.0,0,4225.0,0,2373.0,0,1014.0,27.0,0,0
Iceland,6350.0,21.0,29.0,0,6208.0,5.0,113.0,3.0,18512.0,85.0,577345.0,1683163.0
Yemen,5918.0,60.0,1138.0,6.0,2281.0,20.0,2499.0,23.0,195.0,37.0,22934.0,756.0
CAR,5787.0,0,75.0,0,5112.0,0,600.0,2.0,1182.0,15.0,40907.0,8354.0
Gambia,5784.0,64.0,170.0,0,5225.0,35.0,389.0,3.0,2341.0,69.0,61900.0,25056.0
Niger,5131.0,0,190.0,0,4779.0,0,162.0,23.0,206.0,8.0,95658.0,3842.0
San Marino,5040.0,8.0,88.0,0,4755.0,7.0,197.0,5.0,148288.0,2589.0,58537.0,1722284.0
Seychelles,4976.0,0,25.0,0,4501.0,0,450.0,0,50348.0,253.0,21504.0,217579.0
Chad,4708.0,0,169.0,0,4353.0,0,186.0,0,280.0,10.0,110863.0,6599.0
Saint Lucia,4419.0,0,69.0,0,4260.0,0,90.0,3.0,23977.0,374.0,38805.0,210556.0
Gibraltar,4291.0,0,94.0,0,4181.0,0,16.0,1.0,127394.0,2791.0,226510.0,6724757.0
Channel Islands,4053.0,0,86.0,0,3956.0,0,11.0,1.0,23141.0,491.0,399901.0,2283296.0
Sierra Leone,4038.0,0,79.0,0,2851.0,0,1108.0,0,498.0,10.0,119155.0,14700.0
Comoros,3820.0,1.0,146.0,0,3626.0,31.0,48.0,0,4320.0,165.0,0,0
Barbados,3793.0,9.0,44.0,0,3692.0,11.0,57.0,0,13186.0,153.0,149423.0,519449.0
Guinea-Bissau,3712.0,0,66.0,0,3142.0,0,504.0,9.0,1851.0,33.0,61814.0,30831.0
Burundi,3612.0,0,6.0,0,773.0,0,2833.0,0,297.0,0.5,90019.0,7396.0
Eritrea,3537.0,0,10.0,0,3334.0,0,193.0,0,986.0,3.0,23693.0,6608.0
Liechtenstein,2823.0,0,56.0,0,2693.0,0,74.0,6.0,73870.0,1465.0,32252.0,843940.0
Vietnam,2800.0,9.0,35.0,0,2490.0,15.0,275.0,0,29.0,0.4,2598753.0,26508.0
New Zealand,2597.0,1.0,26.0,0,2485.0,17.0,86.0,0,519.0,5.0,1978011.0,395436.0
Monaco,2413.0,9.0,31.0,0,2306.0,2.0,76.0,4.0,61144.0,786.0,51953.0,1316466.0
Turks and Caicos,2369.0,0,17.0,0,2291.0,0,61.0,2.0,60536.0,434.0,45274.0,1156897.0
Sao Tome and Principe,2275.0,0,35.0,0,2212.0,0,28.0,0,10230.0,157.0,12597.0,56643.0
Bermuda,2214.0,0,20.0,0,1290.0,0,904.0,41.0,35656.0,322.0,227728.0,3667472.0
Sint Maarten,2207.0,0,27.0,0,2159.0,0,21.0,1.0,51012.0,624.0,26322.0,608404.0
Liberia,2042.0,0,85.0,0,1899.0,0,58.0,2.0,396.0,16.0,79684.0,15467.0
St. Vincent Grenadines,1819.0,0,10.0,0,1677.0,0,132.0,2.0,16355.0,90.0,44072.0,396253.0
Saint Martin,1702.0,0,12.0,0,1399.0,0,291.0,7.0,43428.0,306.0,27588.0,703937.0
Isle of Man,1577.0,0,29.0,0,1538.0,0,10.0,0,18468.0,340.0,44761.0,524176.0
Caribbean Netherlands,1548.0,0,15.0,0,1456.0,0,77.0,0,58599.0,568.0,10025.0,379490.0
Timor-Leste,1452.0,84.0,2.0,0,727.0,32.0,723.0,0,1085.0,1.0,59291.0,44300.0
Antigua and Barbuda,1217.0,0,31.0,0,995.0,0,191.0,4.0,12346.0,314.0,16493.0,167313.0
Mauritius,1203.0,0,15.0,0,934.0,0,254.0,0,945.0,12.0,358675.0,281655.0
Taiwan,1078.0,2.0,11.0,0,1038.0,4.0,29.0,0,45.0,0.5,513203.0,21517.0
Bhutan,966.0,5.0,1.0,0,883.0,2.0,82.0,0,1241.0,1.0,674080.0,866000.0
St. Barth,934.0,0,1.0,0,462.0,0,471.0,0,94334.0,101.0,26385.0,2664882.0
